Title,Description,Source,Keyword,PublishedAt
Govt hikes compensation amount for flood victims,"The state government has significantly raised compensation for farmers affected by recent floods, nearly doubling the previous amounts for various crops, ensuring better support for flood victims.",1h,flood,
"Bihar Faces Grim Flood Situation, 12.67 Lakh People Affected Across 12 Districts","Chief Minister Nitish Kumar had on Saturday visited a relief camp for flood-hit people in Hajipur, and instructed officials ...",1don MSN,flood,
Flooding cuts off islanders living along India's Ganges River,"Islanders are cut off from the mainland as rising water in the Ganges River floods roads in India:::: Patna, IndiaRelief and ...",46m,flood,
"Telugu star Mahesh Babu meets Telangana CM, hands over cheque of Rs 50 lakh for flood relief",Mahesh Babu met Revanth Reddy at the latter's residence in Hyderabad and made the contribution to the Chief minister's Relief ...,10h,flood,
Lack of river management a key reason for floods in Krishna: Expert,"The immediate cause for the latest floods was a lower pressure built up over the Bay of Bengal, besides a land-based cyclone, ...",7don MSN,flood,
"Gujarat floods: Swift relief operations, over Rs 20 crore in aid for victims, says Jamnagar collector",Jamnagar's recent floods prompted extensive rescue and relief efforts led by Gujarat Chief Minister Bhupendra Patel. Various ...,2d,flood,
"A new White Revolution in dairy sector: Where India stands, where it aims to be","The idea of White Revolution 2.0 revolves around cooperative societies, which were also the bedrock of Operation Flood five ...",2d,flood,
What’s behind India’s latest #MeToo movement in Malayalam cinema?,"A probe panel’s report has lifted the veil on widespread sex abuse in the industry, with more allegations emerging too.",Al Jazeera on MSN12h,flood,
Chess Olympiad 2024 Hit By Budapest Floods? Latest Update As India Face China In Round 7,"Susan Polgar, one of the most celebrated chess players in the world, took to her social media and reported heavy floods that ...",4d,flood,
India must get serious about flood zoning,"Despite its importance, many Indian states have yet to implement flood zoning, contributing to repeated disasters. Part of the problem is that 70 per cent of India's annual rainfall is between June ...",Northeast Now11d,flood,
"India extends $100,000 aid to flood-hit Laos",The government of India has offered emergency humanitarian assistance to the people of Lao People’s Democratic Republic (Lao ...,Hosted on MSN7d,flood,
Whales flood To New Dogecoin Meme To Lock In Big Gains And Free Airdrop,Whale investors have flooded the meme coin market in recent months. Doge2014 is one of the meme coins they have their eye on.,1d,flood,
Dissanayake's victory in Sri Lanka a political earthquake in India's neighbourhood,Marxist Anura Kumara Dissanayake has been sworn in as the new President of Sri Lanka. His election is a political earthquake ...,India Today7h,earthquake,
BREAKING: Earthquake of 3.3 Magnitude Strikes Kutch in Gujarat,An earthquake of 3.3 magnitude struck Kutch in Gujarat in the morning today; no damage or injuries have been reported.,12h,earthquake,
Earthquake today: 3.3 magnitude tremor hits Kutch in Gujarat; no casualty,"Earthquake risk is very high in Gujarat. It has suffered nine major earthquakes in the past 200 years, as per information ...",12h,earthquake,
"5.8-magnitude earthquake rocks Pakistan, tremors felt in Delhi-NCR, other states","Earthquake tremors felt across North India, Pakistan and Afghanistan.",12don MSN,earthquake,
Chandigarh Earthquake: Tremors Hit City As 5.8-Magnitude Quake Strikes Pakistan,"Tremors from an earthquake were felt across Delhi-NCR, Uttar Pradesh, Haryana, Punjab, Jammu and Kashmir, and parts of ...",12d,earthquake,
